transaction_fee_seg,t1,unnamed_0,t2,unnamed_1,t3,t4,unnamed_2,t5,unnamed_3,t6,unnamed_4,g1,unnamed_5,g2,unnamed_6,g3,unnamed_7,g4,unnamed_8,g5,unnamed_9,g6,unnamed_10,unnamed_11
Queries in Total:,14,,0,,162,0,,0,,0,,0,,0,,0,,0,,0,,0,,
Total in Euro:,"8,12 €",,"0,00 €",,"243,00 €","0,00 €",,"0,00 €",,"0,00 €",,"0,00 €",,"0,00 €",,"0,00 €",,"0,00 €",,"0,00 €",,"0,00 €",,"251,12 €"
